Date,GC=F,SI=F,PL=F,HG=F,PA=F,CL=F,ZC=F,ZO=F,KE=F,ZR=F,ZM=F,ZL=F,ZS=F,GF=F,HE=F,LE=F,CC=F,KC=F,CT=F,SB=F
2020-04-13,1744.800048828125,15.479000091552734,745.7999877929688,2.320499897003174,2199.199951171875,22.40999984741211,331.5,274.75,494.0,1432.5,288.6000061035156,26.899999618530273,854.25,115.0250015258789,44.900001525878906,91.0,2253.0,119.75,52.7599983215332,10.170000076293945
2020-04-14,1756.699951171875,16.07200050354004,815.7000122070312,2.3469998836517334,2213.89990234375,20.110000610351562,326.0,277.25,483.75,1428.0,287.5,26.739999771118164,847.0,116.4000015258789,45.650001525878906,93.69999694824219,2265.0,117.19999694824219,52.5099983215332,10.050000190734863
2020-04-15,1727.199951171875,15.446999549865723,800.5999755859375,2.3125,2182.10009765625,19.8700008392334,319.25,285.5,479.5,1419.0,292.20001220703125,26.549999237060547,842.0,115.80000305175781,45.599998474121094,94.7249984741211,2205.0,120.19999694824219,52.75,10.15999984741211
2020-04-16,1720.4000244140625,15.564000129699707,789.2999877929688,2.304500102996826,2149.199951171875,19.8700008392334,319.75,289.25,470.0,1432.5,291.79998779296875,26.299999237060547,836.75,118.25,37.32500076293945,95.5,2235.0,118.5999984741211,52.790000915527344,10.15999984741211
2020-04-17,1689.199951171875,15.237000465393066,781.2999877929688,2.3534998893737793,2159.39990234375,18.270000457763672,322.25,288.0,478.75,1449.5,288.20001220703125,26.290000915527344,832.5,119.5250015258789,37.92499923706055,94.6500015258789,2379.0,116.05000305175781,52.77000045776367,10.369999885559082
2020-04-20,1701.5999755859375,15.555999755859375,792.0,2.3345000743865967,2156.0,-37.630001068115234,314.25,293.25,495.25,1456.0,285.6000061035156,25.979999542236328,826.5,118.32499694824219,40.599998474121094,93.5250015258789,2338.0,113.6500015258789,54.029998779296875,10.0600004196167
2020-04-21,1678.199951171875,14.817999839782715,758.0,2.2669999599456787,1936.0999755859375,10.010000228881836,309.25,296.75,496.75,1514.0,289.1000061035156,25.350000381469727,830.75,117.9000015258789,44.275001525878906,91.5999984741211,2298.0,109.6500015258789,53.310001373291016,9.75
2020-04-22,1728.699951171875,15.277000427246094,764.9000244140625,2.317500114440918,1920.699951171875,13.779999732971191,317.5,303.25,490.0,1582.5,288.29998779296875,25.56999969482422,834.75,118.4749984741211,47.224998474121094,88.94999694824219,2355.0,110.5999984741211,56.279998779296875,9.829999923706055
2020-04-23,1733.300048828125,15.347999572753906,787.5999755859375,2.3239998817443848,2029.5,16.5,319.25,295.0,485.5,1667.5,288.70001220703125,25.610000610351562,839.25,119.42500305175781,50.974998474121094,85.94999694824219,2343.0,111.05000305175781,56.880001068115234,9.84000015258789
2020-04-24,1723.5,15.253999710083008,773.4000244140625,2.3480000495910645,2013.800048828125,16.940000534057617,315.75,303.0,474.75,1661.0,287.70001220703125,25.049999237060547,832.25,119.80000305175781,52.525001525878906,84.9749984741211,2341.0,105.19999694824219,54.93000030517578,9.729999542236328
