Date,^GSPC,^DJI,^IXIC,^RUT,^VIX,399001.SZ
2021-01-07,3803.7900390625,31041.130859375,13067.48046875,2096.889892578125,22.3700008392334,15356.400390625
2021-01-08,3824.679931640625,31097.970703125,13201.98046875,2091.659912109375,21.559999465942383,15319.2900390625
2021-01-11,3799.610107421875,31008.689453125,13036.4296875,2091.010009765625,24.079999923706055,15115.3798828125
2021-01-12,3801.18994140625,31068.689453125,13072.4296875,2127.9599609375,23.329999923706055,15460.0302734375
2021-01-13,3809.840087890625,31060.470703125,13128.9501953125,2111.969970703125,22.209999084472656,15365.4296875
2021-01-14,3795.5400390625,30991.51953125,13112.6396484375,2155.35009765625,23.25,15070.1298828125
2021-01-15,3768.25,30814.259765625,12998.5,2123.199951171875,24.34000015258789,15031.7001953125
2021-01-19,3798.909912109375,30930.51953125,13197.1796875,2151.139892578125,23.239999771118164,15003.990234375
2021-01-20,3851.85009765625,31188.380859375,13457.25,2160.6201171875,21.579999923706055,15223.3603515625
2021-01-21,3853.070068359375,31176.009765625,13530.91015625,2141.419921875,21.31999969482422,15520.599609375
2021-01-22,3841.469970703125,30996.98046875,13543.0595703125,2168.760009765625,21.90999984741211,15628.73046875
2021-01-25,3855.360107421875,30960.0,13635.990234375,2163.27001953125,23.190000534057617,15710.1904296875
2021-01-26,3849.6201171875,30937.0390625,13626.0595703125,2149.860107421875,23.020000457763672,15352.419921875
2021-01-27,3750.77001953125,30303.169921875,13270.599609375,2108.699951171875,37.209999084472656,15413.83984375
2021-01-28,3787.3798828125,30603.359375,13337.16015625,2106.610107421875,30.209999084472656,14913.2099609375
2021-01-29,3714.239990234375,29982.619140625,13070.6904296875,2073.639892578125,33.09000015258789,14821.990234375
2021-02-01,3773.860107421875,30211.91015625,13403.3896484375,2126.159912109375,30.239999771118164,15024.240234375
2021-02-02,3826.31005859375,30687.48046875,13612.7802734375,2151.43994140625,25.559999465942383,15335.66015625
2021-02-03,3830.169921875,30723.599609375,13610.5400390625,2159.699951171875,22.90999984741211,15233.150390625
2021-02-04,3871.739990234375,31055.859375,13777.740234375,2202.419921875,21.770000457763672,15105.9404296875
2021-02-05,3886.830078125,31148.240234375,13856.2998046875,2233.330078125,20.8700008392334,15007.2998046875
2021-02-08,3915.590087890625,31385.759765625,13987.6396484375,2289.760009765625,21.239999771118164,15269.6298828125
2021-02-09,3911.22998046875,31375.830078125,14007.7001953125,2299.0,21.6299991607666,15630.5703125
2021-02-10,3909.8798828125,31437.80078125,13972.5302734375,2282.43994140625,21.989999771118164,15962.25
2021-02-11,3916.3798828125,31430.69921875,14025.76953125,2285.320068359375,21.25,
2021-02-12,3934.830078125,31458.400390625,14095.4697265625,2289.360107421875,19.969999313354492,
2021-02-16,3932.590087890625,31522.75,14047.5,2272.889892578125,21.459999084472656,
2021-02-17,3931.330078125,31613.01953125,13965.490234375,2256.110107421875,21.5,
2021-02-18,3913.969970703125,31493.33984375,13865.3603515625,2218.389892578125,22.489999771118164,15767.4404296875
2021-02-19,3906.7099609375,31494.3203125,13874.4599609375,2266.68994140625,22.049999237060547,15823.1103515625
2021-02-22,3876.5,31521.689453125,13533.0498046875,2251.070068359375,23.450000762939453,15336.9501953125
2021-02-23,3881.3701171875,31537.349609375,13465.2001953125,2231.31005859375,23.110000610351562,15243.25
