"","nombres","omega","alfa","beta","a","b"
"326","HRL",0.192746688779546,0.145295656633791,0.763748419582975,0.0302846304946072,0.944887847999936
"327","MKC",0.184213934611308,0.178634704972403,0.733220179628454,0.0713654452192667,0.861069309440379
"328","MKC-V",0.165921040063777,0.124146415587279,0.824590649673148,0.0369229057592955,0.905597044565335
"329","DLTR",0.68578447624741,0.162078108544334,0.749446365404504,0.0759673182619425,0.545263735171896
"330","TSN",0.235421495980892,0.274149473136251,0.718817914167757,0.141699646550404,0.477774304292613
"331","CHD",0.227513891136117,0.197447350153246,0.714099637135092,0.0595824482890315,0.859211392760171
"332","CCEP",0.31633018826444,0.227459054375841,0.739877335299,0.0840291454139535,0.785564800455174
"333","K",0.34702378561785,0.205767219488423,0.643549206784643,0.0995263584753778,0.753425953065861
"334","CAG",0.160461097032644,0.125800743242213,0.819677240594702,0.018374425647454,0.970817799682158
"335","CPB",0.431866330693361,0.317005034778075,0.544271395319467,0.0961544222062646,0.334054088510912
"336","SJM",0.246025071999833,0.186548918856868,0.724758283994627,0.0392609273938301,0.911922116848077
"337","CHGG",2.88096643174374e-08,0.00416227936178847,0.994837164372066,0.0412674368035706,0.942481214424917
"338","SAM",2.17617980805734e-07,1.57756528327187e-09,0.998952483150207,0.0441411602106917,0.906647621579533
"339","LW",0.0680678120631755,0.0282760609894709,0.970723907996643,0.0515774222997686,0.927907435469599
"340","TAP",0.209698720941952,0.137153171395734,0.844012060955335,0.0587701395952497,0.909158036434509
"341","NWL",0.233931706746293,0.107539049549906,0.86557265213695,0.028446032472215,0.925244336574079
"342","DAR",1.07339880112593,0.18803005162012,0.704953444225567,0.0225969316121892,0.919077511191475
"343","BYND",0.851305809952233,0.10378348790826,0.866520330647025,0.0517206951269957,0.865531596003088
"344","BG",0.189186352349897,0.105139008303502,0.859639466417685,0.0160723629622812,0.969321434081473
"345","KOF",0.228757620367959,0.207229230154329,0.728940017793141,0.0197290219325237,0.953793090756353
"346","USFD",0.539123627992452,0.261474024259196,0.726713396052839,0.0388515176680058,0.930422067648789
"347","CASY",0.228576201309193,0.198877618711149,0.759295773663394,0.0336988399653212,0.919594190452562
"348","PFGC",0.684738474979966,0.260717205200953,0.738282694094809,0.149209922976669,0.63905418501274
"349","POST",0.256111005811167,0.238707836276488,0.728573546714646,0.0400884073352189,0.920060758093413
"350","HLF",0.870242931128727,0.235400224924603,0.689728348825118,0.0483358884034226,0.820181250537998
"351","HELE",0.397767074590996,0.13876727861543,0.80724873212574,0.0404639192157852,0.926382439076451
"352","BJ",2.91887082184846,0.278459346965052,0.352976371205223,0.080091309884024,0.156345235432197
"353","COTY",2.38506465487211,0.241092898539899,0.714341726204609,0.142781047866877,0.185657165160821
"354","INGR",0.220546716737091,0.191316683822764,0.789682700246066,0.0261550724473269,0.926919960103144
"355","FIZZ",1.92444097918572,0.235927592956425,0.579642724187117,0.0795276510211502,0.779494078677782
"356","PPC",0.382530378406576,0.327991194557725,0.671008754624293,0.0336579874747089,0.951508825240179
"357","LANC",0.137288027944028,0.140476494662801,0.819853970371916,0.014652554538182,0.965718386294337
"358","FLO",0.217604675249387,0.140223590013023,0.744325827507938,0.0937355200264617,0.640827692913715
"359","NOMD",0.58539435172654,0.202994413686508,0.626345026851601,0.0301396963919912,0.875378591446628
"360","HAIN",0.077209363415549,0.0745528595756816,0.92444702460485,0.0385506472146194,0.55549197141698
"361","LOPE",0.948764314309802,0.191762751875134,0.715715014629276,0.0548561484672343,0.881499063068104
"362","GO",0.000368089645661239,1.61696756739804e-09,0.998999998103128,0.0248936710828931,0.90412818069286
"363","SPB",0.707629894884566,0.25322361370948,0.659621081490035,0.063150511227345,0.596745760202856
"364","SAFM",0.00186926310474052,0.0999770909120135,0.899022908100959,0.013729098739906,0.924963031516558
"365","TWOU",0.424415311825125,0.0791661441355657,0.896560776830688,0.0577572887809174,0.875726956506231
"366","CCU",0.432263261546704,0.159895355360687,0.750878183887553,0.026093246333908,0.934510428899645
"367","JJSF",0.349099103030368,0.392842288296082,0.606157525900858,0.0400088967017466,0.882135533974733
"368","PSMT",0.283754624870635,0.104728828088892,0.841657710304442,0.0233123557749261,0.953348109752544
"369","NUS",1.22261071235951,0.223348064121379,0.726014854652417,0.108292499132753,0.639950345340899
"370","GHC",0.514507940637793,0.375058667780298,0.58116456497584,0.00362200377532264,0.977786547504349
"371","LAUR",0.271300458865493,0.0530281003411453,0.945971893549747,0.0207899967240602,0.97592035939804
"372","UTZ",0.149208741416766,0.248961721422502,0.750038267091203,5.47228797729766e-08,0.897898608045074
"373","SFM",1.28116004777387,0.157658033718985,0.639900272631927,0.0532052890134622,0.517596646555512
"374","COKE",0.337853761684258,0.109385055174963,0.831241161743138,0.0321316322204254,0.92691335047945
"375","AKO-B",1.05563960327186,0.102438229112929,0.840235796856862,0.0111334791489959,0.960359567714001
"376","THS",1.86292856366381,0.34408346078933,0.387452709015927,0.0390089031024853,0.867315956646935
"377","TR",0.579546969340234,0.247823062821466,0.610417411573342,0.0227633723589022,0.957533567891359
"378","CENT",0.853349264540341,0.115531577605019,0.719739599507464,0.0502848178133052,0.723842882336711
"379","CENTA",0.719067276710405,0.114345004031196,0.724302838161214,0.0652970733823759,0.640416284218526
"380","STRA",1.29423455269356,0.281931867456873,0.626362574094771,0.0263195760550436,0.951961418778466
"381","AFYA",0.751908456839518,0.108047366432041,0.826179014827089,0.0317369897668645,0.904688166629051
"382","BGS",1.92309666915146,0.413296218652845,0.519752901307683,0.137549764256291,0.581218344099408
"383","AKO-A",0.394801183541387,0.117820786544258,0.881179209842743,0.0250732008937533,0.94693727629278
"384","IBA",0.331490811907495,0.11872037235587,0.793383333313333,0.00681154495644125,0.984774169921391
"385","ATGE",3.17590483363892,0.29339925639888,0.305401718646858,0.0195817850509605,0.96534531874953
"386","ARCE",1.73839373202467,0.130487456746171,0.724826706527364,0.0497222690219546,0.835551662449713
"387","EPC",0.667658086236141,0.230720181501335,0.722224784645751,0.00724419631065842,0.95858252746835
"388","IPAR",0.541781739859207,0.222406627194556,0.757397412775315,0.00809989702963188,0.961699639656629
"389","BIG",1.71371493520712,0.0920667020489095,0.820518580297987,0.0849373011464414,0.721663692369059
"390","USNA",0.171193980113572,0.151747113372693,0.847252870652784,0.0280624637525367,0.933164444541081
"391","CALM",0.215269099883702,0.0763208362772552,0.856669637602839,0.00541434494134177,0.736942041105433
"392","XOM",0.263514380807273,0.11758546423632,0.848727302176537,0.0531384540627276,0.921673613492491
"393","CVX",0.253064759725475,0.141150761048715,0.821740443439315,0.0443657350435928,0.938400373415183
"394","RDS-A",0.358174144035138,0.137263075082073,0.823672774527392,0.0431815332964601,0.922059912433914
"395","RDS-B",0.37624456785067,0.143331250881618,0.818393470347251,0.0260077174435404,0.951216292156735
"396","PTR",0.493362667475677,0.0910873218116337,0.835888156519683,0.0176641883104327,0.972640196155573
"397","BP",0.297532098441243,0.0963693087019993,0.872522517095403,0.167220021269483,0.701822532342516
"398","ENB",0.209265300864138,0.225382357589582,0.730421432637021,0.12641064421676,0.715767600667142
"399","SNP",0.446672466249541,0.116494584971525,0.78155596148005,0.045714682173448,0.891682716066362
"400","PBR-A",1.39099963692092,0.168112200625979,0.752378038666157,0.0624753174228398,0.905734470093768
"401","PBR",1.23439669416223,0.162041969027974,0.759417689028274,0.06189140375964,0.912780963723399
"402","EQNR",0.366415968211703,0.0884441560725894,0.85982098224134,0.0470135895086445,0.913833909364302
"403","COP",0.425362971064527,0.108165241997653,0.856080154333555,0.0355302270819028,0.933881870437658
"404","EPD",0.140891504523968,0.114261239460135,0.859089627951723,0.055776697278279,0.828492634339316
"405","TRP",0.166879321091471,0.167879988553737,0.807753157309198,0.036612098971857,0.929285175896274
"406","E",0.18858709196219,0.0981999648460006,0.871868732922856,0.058755611903974,0.904594368250322
"407","KMI",0.36744748276573,0.216894806334402,0.723968178001392,0.0454032828460027,0.938902228943928
"408","SLB",0.424204147626983,0.0773849898759249,0.893133564922773,0.0739728995320684,0.881214434746104
"409","EOG",0.580700239102783,0.0669862793852131,0.893142674073754,0.0354936936689112,0.930232029931701
"410","PSX",0.422684719698822,0.107789179608166,0.855203541446547,0.0305915543095618,0.944135721754982
"411","MPC",0.146108758629372,0.110149509963977,0.881316234151048,0.0379653590279787,0.940402952834629
"412","CNQ",0.553226055307842,0.0792389731703827,0.875299083832009,0.119041842847427,0.0799326803873973
"413","PXD",0.528119090382696,0.0993005299597581,0.854279063125066,0.0316086542663676,0.95047700971737
"414","SU",0.779207920901544,0.095334538483185,0.859237711409072,0.0217245477976411,0.956431267235524
"415","EC",0.348676820054862,0.122050729357184,0.852558943839942,0.0668322546038729,0.874186559274932
"416","WMB",0.198975060582128,0.179157798705985,0.793474568167334,0.0669803408504724,0.873978162257715
"417","MPLX",0.218266438158518,0.140003207047161,0.835892499119785,0.0396372704837532,0.722713413630084
"418","VLO",0.499471072161225,0.101191070098823,0.862773691565496,0.0243907366768754,0.951685850737729
"419","BKR",0.60849258288181,0.11644727457989,0.830202309253087,0.0758708256251046,0.882774006689742
"420","OXY",1.18603730157338,0.0712263522245648,0.887366131804136,0.0291341037334663,0.936280840445306
